Hora,Valor
0,739.60
1,728.79
2,697.13
3,646.76
4,581.11
5,504.66
6,422.63
7,340.59
8,264.14
9,198.49
10,148.12
11,116.46
12,105.66
13,116.46
14,148.12
15,198.49
16,264.14
17,340.59
18,422.63
19,504.66
20,581.11
21,646.76
22,697.13
23,728.79
24,739.60
25,728.79
26,697.13
27,646.76
28,581.11
29,504.66
30,422.63
31,340.59
32,264.14
33,198.49
34,148.12
35,116.46
36,105.66
37,116.46
38,148.12
39,198.49
40,264.14
41,340.59
42,422.63
43,504.66
44,581.11
45,646.76
46,697.13
47,728.79
48,739.60
49,728.79
50,697.13
51,646.76
52,581.11
53,504.66
54,422.63
55,340.59
56,264.14
57,198.49
58,148.12
59,116.46
60,105.66
61,116.46
62,148.12
63,198.49
64,264.14
65,340.59
66,422.63
67,504.66
68,581.11
69,646.76
70,697.13
71,728.79
72,739.60
73,728.79
74,697.13
75,646.76
76,581.11
77,504.66
78,422.63
79,340.59
80,264.14
81,198.49
82,148.12
83,116.46
84,105.66
85,116.46
86,148.12
87,198.49
88,264.14
89,340.59
90,422.63
91,504.66
92,581.11
93,646.76
94,697.13
95,728.79
96,739.60
97,728.79
98,697.13
99,646.76
100,581.11
101,504.66
102,422.63
103,340.59
104,264.14
105,198.49
106,148.12
107,116.46
108,105.66
109,116.46
110,148.12
111,198.49
112,264.14
113,340.59
114,422.63
115,504.66
116,581.11
117,646.76
118,697.13
119,728.79
120,739.60
121,728.79
122,697.13
123,646.76
124,581.11
125,504.66
126,422.63
127,340.59
128,264.14
129,198.49
130,148.12
131,116.46
132,105.66
133,116.46
134,148.12
135,198.49
136,264.14
137,340.59
138,422.63
139,504.66
140,581.11
141,646.76
142,697.13
143,728.79
144,739.60
145,728.79
146,697.13
147,646.76
148,581.11
149,504.66
150,422.63
151,340.59
152,264.14
153,198.49
154,148.12
155,116.46
156,105.66
157,116.46
158,148.12
159,198.49
160,264.14
161,340.59
162,422.63
163,504.66
164,581.11
165,646.76
166,697.13
167,728.79
