Hora,Valor
0,811.09
1,799.25
2,764.52
3,709.28
4,637.29
5,553.45
6,463.48
7,373.51
8,289.68
9,217.68
10,162.44
11,127.72
12,115.87
13,127.72
14,162.44
15,217.68
16,289.68
17,373.51
18,463.48
19,553.45
20,637.29
21,709.28
22,764.52
23,799.25
24,811.09
25,799.25
26,764.52
27,709.28
28,637.29
29,553.45
30,463.48
31,373.51
32,289.68
33,217.68
34,162.44
35,127.72
36,115.87
37,127.72
38,162.44
39,217.68
40,289.68
41,373.51
42,463.48
43,553.45
44,637.29
45,709.28
46,764.52
47,799.25
48,811.09
49,799.25
50,764.52
51,709.28
52,637.29
53,553.45
54,463.48
55,373.51
56,289.68
57,217.68
58,162.44
59,127.72
60,115.87
61,127.72
62,162.44
63,217.68
64,289.68
65,373.51
66,463.48
67,553.45
68,637.29
69,709.28
70,764.52
71,799.25
72,811.09
73,799.25
74,764.52
75,709.28
76,637.29
77,553.45
78,463.48
79,373.51
80,289.68
81,217.68
82,162.44
83,127.72
84,115.87
85,127.72
86,162.44
87,217.68
88,289.68
89,373.51
90,463.48
91,553.45
92,637.29
93,709.28
94,764.52
95,799.25
96,811.09
97,799.25
98,764.52
99,709.28
100,637.29
101,553.45
102,463.48
103,373.51
104,289.68
105,217.68
106,162.44
107,127.72
108,115.87
109,127.72
110,162.44
111,217.68
112,289.68
113,373.51
114,463.48
115,553.45
116,637.29
117,709.28
118,719.50
119,752.18
120,763.33
121,752.18
122,719.50
123,667.51
124,599.76
125,520.86
126,436.19
127,351.52
128,272.62
129,204.86
130,152.88
131,120.19
132,109.05
133,120.19
134,152.88
135,204.86
136,272.62
137,351.52
138,436.19
139,520.86
140,599.76
141,667.51
142,719.50
143,752.18
144,763.33
145,752.18
146,719.50
147,667.51
148,599.76
149,520.86
150,436.19
151,351.52
152,272.62
153,204.86
154,152.88
155,120.19
156,109.05
157,120.19
158,152.88
159,204.86
160,272.62
161,351.52
162,436.19
163,520.86
164,599.76
165,667.51
166,719.50
167,752.18
