Hora,Valor
0,841.11
1,828.83
2,792.82
3,735.53
4,660.88
5,573.94
6,480.64
7,387.34
8,300.40
9,225.74
10,168.45
11,132.44
12,120.16
13,132.44
14,168.45
15,225.74
16,300.40
17,387.34
18,480.64
19,573.94
20,660.88
21,735.53
22,792.82
23,828.83
24,841.11
25,828.83
26,792.82
27,735.53
28,660.88
29,573.94
30,480.64
31,387.34
32,300.40
33,225.74
34,168.45
35,132.44
36,120.16
37,132.44
38,168.45
39,225.74
40,300.40
41,387.34
42,480.64
43,573.94
44,660.88
45,735.53
46,792.82
47,828.83
48,841.11
49,828.83
50,792.82
51,735.53
52,660.88
53,573.94
54,480.64
55,387.34
56,300.40
57,225.74
58,168.45
59,132.44
60,120.16
61,132.44
62,168.45
63,225.74
64,300.40
65,387.34
66,480.64
67,573.94
68,660.88
69,735.53
70,792.82
71,828.83
72,841.11
73,828.83
74,792.82
75,735.53
76,660.88
77,573.94
78,480.64
79,387.34
80,300.40
81,225.74
82,168.45
83,132.44
84,120.16
85,132.44
86,168.45
87,225.74
88,300.40
89,387.34
90,480.64
91,573.94
92,660.88
93,735.53
94,792.82
95,828.83
96,841.11
97,828.83
98,792.82
99,735.53
100,660.88
101,573.94
102,480.64
103,387.34
104,300.40
105,225.74
106,168.45
107,132.44
108,120.16
109,132.44
110,168.45
111,225.74
112,300.40
113,387.34
114,480.64
115,573.94
116,660.88
117,735.53
118,792.82
119,828.83
120,841.11
121,828.83
122,792.82
123,735.53
124,660.88
125,573.94
126,480.64
127,387.34
128,300.40
129,225.74
130,168.45
131,132.44
132,120.16
133,132.44
134,168.45
135,225.74
136,300.40
137,387.34
138,480.64
139,573.94
140,660.88
141,735.53
142,792.82
143,828.83
144,841.11
145,828.83
146,792.82
147,735.53
148,660.88
149,573.94
150,480.64
151,387.34
152,300.40
153,225.74
154,168.45
155,132.44
156,120.16
157,132.44
158,168.45
159,225.74
160,300.40
161,387.34
162,480.64
163,573.94
164,660.88
165,735.53
166,792.82
167,828.83
