Hora,Valor
0,790.09
1,778.55
2,744.72
3,690.91
4,620.78
5,539.12
6,451.48
7,363.84
8,282.17
9,212.05
10,158.23
11,124.41
12,112.87
13,124.41
14,158.23
15,212.05
16,282.17
17,363.84
18,451.48
19,539.12
20,620.78
21,690.91
22,744.72
23,778.55
24,790.09
25,778.55
26,744.72
27,690.91
28,620.78
29,539.12
30,451.48
31,363.84
32,282.17
33,212.05
34,158.23
35,124.41
36,112.87
37,124.41
38,158.23
39,212.05
40,282.17
41,363.84
42,451.48
43,539.12
44,620.78
45,690.91
46,744.72
47,778.55
48,790.09
49,778.55
50,744.72
51,690.91
52,620.78
53,539.12
54,451.48
55,363.84
56,282.17
57,212.05
58,158.23
59,124.41
60,112.87
61,124.41
62,158.23
63,212.05
64,282.17
65,363.84
66,451.48
67,539.12
68,620.78
69,690.91
70,744.72
71,778.55
72,790.09
73,778.55
74,744.72
75,690.91
76,620.78
77,539.12
78,451.48
79,363.84
80,282.17
81,212.05
82,158.23
83,124.41
84,112.87
85,124.41
86,158.23
87,212.05
88,282.17
89,363.84
90,451.48
91,539.12
92,620.78
93,690.91
94,744.72
95,778.55
96,790.09
97,778.55
98,744.72
99,690.91
100,620.78
101,539.12
102,451.48
103,363.84
104,282.17
105,212.05
106,158.23
107,124.41
108,112.87
109,124.41
110,158.23
111,212.05
112,282.17
113,363.84
114,451.48
115,539.12
116,620.78
117,690.91
118,744.72
119,778.55
120,790.09
121,778.55
122,744.72
123,690.91
124,620.78
125,539.12
126,451.48
127,363.84
128,282.17
129,212.05
130,158.23
131,124.41
132,112.87
133,124.41
134,158.23
135,212.05
136,282.17
137,363.84
138,451.48
139,539.12
140,620.78
141,690.91
142,744.72
143,778.55
144,790.09
145,778.55
146,744.72
147,690.91
148,620.78
149,539.12
150,451.48
151,363.84
152,282.17
153,212.05
154,158.23
155,124.41
156,112.87
157,124.41
158,158.23
159,212.05
160,282.17
161,363.84
162,451.48
163,539.12
164,620.78
165,690.91
166,744.72
167,778.55
