Hora,Valor
0,811.09
1,799.25
2,764.52
3,709.28
4,637.29
5,553.45
6,463.48
7,373.51
8,289.68
9,217.68
10,162.44
11,127.72
12,115.87
13,127.72
14,162.44
15,217.68
16,289.68
17,373.51
18,463.48
19,553.45
20,637.29
21,709.28
22,764.52
23,799.25
24,811.09
25,799.25
26,764.52
27,709.28
28,637.29
29,553.45
30,463.48
31,373.51
32,289.68
33,217.68
34,162.44
35,127.72
36,115.87
37,127.72
38,162.44
39,217.68
40,289.68
41,373.51
42,463.48
43,553.45
44,637.29
45,709.28
46,764.52
47,799.25
48,811.09
49,799.25
50,764.52
51,709.28
52,637.29
53,553.45
54,463.48
55,373.51
56,289.68
57,217.68
58,162.44
59,127.72
60,115.87
61,127.72
62,162.44
63,217.68
64,289.68
65,373.51
66,463.48
67,553.45
68,637.29
69,709.28
70,764.52
71,799.25
72,811.09
73,799.25
74,764.52
75,709.28
76,637.29
77,553.45
78,463.48
79,373.51
80,289.68
81,217.68
82,162.44
83,127.72
84,115.87
85,127.72
86,162.44
87,217.68
88,289.68
89,373.51
90,463.48
91,553.45
92,637.29
93,709.28
94,764.52
95,799.25
96,811.09
97,799.25
98,764.52
99,709.28
100,637.29
101,553.45
102,463.48
103,373.51
104,289.68
105,217.68
106,162.44
107,127.72
108,115.87
109,127.72
110,162.44
111,217.68
112,289.68
113,373.51
114,463.48
115,553.45
116,637.29
117,709.28
118,764.52
119,799.25
120,811.09
121,799.25
122,764.52
123,709.28
124,637.29
125,553.45
126,463.48
127,373.51
128,289.68
129,217.68
130,162.44
131,127.72
132,115.87
133,127.72
134,162.44
135,217.68
136,289.68
137,373.51
138,463.48
139,553.45
140,637.29
141,709.28
142,764.52
143,799.25
144,811.09
145,799.25
146,764.52
147,709.28
148,637.29
149,553.45
150,463.48
151,373.51
152,289.68
153,217.68
154,162.44
155,127.72
156,115.87
157,127.72
158,162.44
159,217.68
160,289.68
161,373.51
162,463.48
163,553.45
164,637.29
165,709.28
166,764.52
167,799.25
