Hora,Valor
0,763.33
1,752.18
2,719.50
3,667.51
4,599.76
5,520.86
6,436.19
7,351.52
8,272.62
9,204.86
10,152.88
11,120.19
12,109.05
13,120.19
14,152.88
15,204.86
16,272.62
17,351.52
18,436.19
19,520.86
20,599.76
21,667.51
22,719.50
23,752.18
24,763.33
25,752.18
26,719.50
27,667.51
28,599.76
29,520.86
30,436.19
31,351.52
32,272.62
33,204.86
34,152.88
35,120.19
36,109.05
37,120.19
38,152.88
39,204.86
40,272.62
41,351.52
42,436.19
43,520.86
44,599.76
45,667.51
46,719.50
47,752.18
48,763.33
49,752.18
50,719.50
51,667.51
52,599.76
53,520.86
54,436.19
55,351.52
56,272.62
57,204.86
58,152.88
59,120.19
60,109.05
61,120.19
62,152.88
63,204.86
64,272.62
65,351.52
66,436.19
67,520.86
68,599.76
69,667.51
70,719.50
71,752.18
72,763.33
73,752.18
74,719.50
75,667.51
76,599.76
77,520.86
78,436.19
79,351.52
80,272.62
81,204.86
82,152.88
83,120.19
84,109.05
85,120.19
86,152.88
87,204.86
88,272.62
89,351.52
90,436.19
91,520.86
92,599.76
93,667.51
94,719.50
95,752.18
96,763.33
97,752.18
98,719.50
99,667.51
100,599.76
101,520.86
102,436.19
103,351.52
104,272.62
105,204.86
106,152.88
107,120.19
108,109.05
109,120.19
110,152.88
111,204.86
112,272.62
113,351.52
114,436.19
115,520.86
116,599.76
117,667.51
118,719.50
119,752.18
120,763.33
121,752.18
122,719.50
123,667.51
124,599.76
125,520.86
126,436.19
127,351.52
128,272.62
129,204.86
130,152.88
131,120.19
132,109.05
133,120.19
134,152.88
135,204.86
136,272.62
137,351.52
138,436.19
139,520.86
140,599.76
141,667.51
142,719.50
143,752.18
144,763.33
145,752.18
146,507.52
147,470.85
148,423.05
149,367.40
150,307.68
151,247.95
152,192.30
153,144.51
154,107.83
155,84.78
156,76.92
157,84.78
158,107.83
159,144.51
160,192.30
161,247.95
162,307.68
163,367.40
164,423.05
165,470.85
166,507.52
167,530.57
